time,cds
67105,399
67117,398
67128,398
67139,399
67151,399
67163,398
67174,399
67185,398
67196,426
67209,458
67220,474
67231,425
67243,410
67254,404
67265,401
67277,400
67289,400
67300,399
67311,400
67322,399
67334,399
67346,399
67357,399
67368,399
67380,399
67391,399
67402,399
67415,398
67426,398
67437,400
67448,399
67460,399
67471,399
67483,398
67494,398
67506,399
67517,399
67528,399
67540,399
67552,398
67563,398
67574,399
67586,399
67597,398
67609,399
67620,398
67632,399
67643,399
67654,399
67665,399
67678,399
67689,399
67700,399
67712,399
67723,399
67734,399
67746,399
67758,399
67769,428
67780,459
67791,474
67803,424
67815,409
67826,405
67837,401
67849,400
67860,399
67871,399
67884,399
67895,399
67906,398
67917,398
67929,399
67941,399
67952,398
67963,398
67975,398
67986,398
67997,398
68009,398
68021,398
68032,398
68043,398
68055,398
68066,398
68078,398
68089,398
68101,398
68112,398
68123,399
68134,398
68147,398
68158,398
68169,398
68180,398
68192,398
68203,398
68215,398
68227,398
68238,398
68249,398
68260,398
68273,398
68284,398
68295,398
68306,434
68318,461
68329,470
68341,420
68353,407
68364,403
68375,401
68386,400
68398,399
68410,399
68421,399
68432,399
68444,399
68455,398
68466,398
68478,398
68490,398
68501,398
68512,399
68524,398
68535,399
68547,398
68558,398
68570,398
68581,398
68592,398
68603,398
68616,398
68627,398
68638,399
68649,398
68661,398
68673,398
68684,398
68696,398
68707,400
68718,399
68729,399
68742,399
68753,399
68764,399
68775,400
68787,399
68798,399
68810,400
68822,400
68833,400
68844,400
68855,400
68867,400
68879,437
68890,464
68901,472
68913,423
68924,409
68935,404
68947,402
68959,401
68970,401
68981,400
68993,400
69005,400
69016,400
69027,400
69039,399
69050,400
69061,399
69073,400
69085,399
69096,401
69107,399
69118,399
69130,399
69142,399
69153,399
69165,398
69176,397
69187,397
69198,396
69211,396
69222,396
69233,396
69244,396
69256,397
69267,396
69279,396
69291,397
69302,396
69313,396
69324,396
69336,396
69348,396
69359,396
69370,396
69382,395
69393,397
69405,396
69416,439
69428,462
69439,453
69450,415
69462,404
69474,401
69485,400
